"Primary ISBN10","Primary ISBN13",Title,Author
1427817103,9781427817105,".HACK G.U.   , VOL. 5","Hamazaki Tatsuya"
1421535351,9781421535357,"20TH CENTURY BOYS, VOL. 17","Naoki Urasawa"
1421535386,9781421535388,"20TH CENTURY BOYS, VOL. 20","Naoki Urasawa"
1421535394,9781421535395,"20TH CENTURY BOYS, VOL. 21","Naoki Urasawa"
None,9780316210348,"A BRIDE'S STORY","Kaoru Mori"
0316232033,9780316232036,"A BRIDE'S STORY, VOL. 4","Kaoru Mori"
0316243094,9780316243094,"A BRIDE'S STORY, VOL. 5","Kaoru Mori"
1935934023,9781935934028,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 2","Kazuma Kamachi"
193593418X,9781935934189,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 4","Kazuma Kamachi"
1937867218,9781937867218,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 7","Kazuma Kamachi"
193786779X,9781937867799,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 9","Kazuma Kamachi and Motoi Fuyukawa"
1421540215,9781421540214,"AFTERSCHOOL CHARISMA, VOL. 4","Kumiko Suekane"
1421549220,9781421549224,"AFTERSCHOOL CHARISMA, VOL. 7","Kumiko Suekane"
1421538385,9781421538389,"AI ORE-LOVE ME!, VOL. 1","Mayu Shinjo"
1421538393,9781421538396,"AI ORE-LOVE ME, VOL. 2","Mayu Shinjo"
1421538733,9781421538730,"AI ORE: LOVE ME, VOL. 4","Mayu Shinjo"
1421538741,9781421538747,"AI ORE: LOVE ME, VOL. 5","Mayu Shinjo"
0345508181,9780345508188,"AIR GEAR 15/16/17, VOL. 15",Oh!Great
034549279X,9780345492791,"AIR GEAR, VOL. 13",Oh!Great
1935429108,9781935429104,"AIR GEAR, VOL. 19",Oh!Great
1935429124,9781935429128,"AIR GEAR, VOL. 21","Oh Great"
1612620272,9781612620275,"AIR GEAR, VOL. 22",Oh!Great
1612620280,9781612620282,"AIR GEAR, VOL. 23",Oh!Great
1612620302,9781612620305,"AIR GEAR, VOL. 25",Oh!Great
0316259462,9780316259460,"AKAME GA KILL!, VOL. 1","Takahiro and Tetsuya Tashiro"
1935429086,9781935429081,"AKIRA, VOL. 6","Katsuhiro Otomo"
1937867404,9781937867409,"ALICE IN THE COUNTRY OF CLOVER, ACE OF HEARTS",QuinRose
1935934902,9781935934905,"ALICE IN THE COUNTRY OF CLOVER: BLOODY TWINS","QuinRose and Mamenosuke Fujimaru"
1935934910,9781935934912,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 1","QuinRose and Mamenosuke Fujimaru"
1935934929,9781935934929,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 2",QuinRose
