List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2010-05-09,2010-05-23,1,0,1,0,0,1421527677,9781421527673,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy. How will she survive the pursuit of demons who want the power in her blood?,9.99,"BLACK BIRD, VOL. 4",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527673.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakouji-ebook/dp/B00F3HJCSQ?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,2,0,1,0,0,1421529300,9781421529301,VIZ Media,Asuka helps his friend practice for a date by playing the role of his female intended.,9.99,"OTOMEN, VOL. 6",Aya Kanno,by Aya Kanno,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421529301.jpg,http://www.amazon.com/Otomen-Vol-6-Aya-Kanno/dp/1421529300?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,3,0,1,0,0,1421531607,9781421531601,VIZ Media,"The protagonist: 15-year-old Allen Walker. The setting: 19th century England. His mission: to find Innocence, a substance used to create weapons to destroy the akuma demons.",9.99,"D. GRAY-MAN, VOL. 17",Katsura Hoshino,by Katsura Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531601.jpg,http://www.amazon.com/D-Gray-Man-Vol-17-Parting/dp/1421531607?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,4,0,1,0,0,1421534606,9781421534602,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, war escalates.",9.99,"ONE PIECE, VOL. 44",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534602.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534606?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,5,3,3,0,0,031607327X,9780316073271,Yen Press,Yotsuba goes to a festival and learns about the magic of cake!,10.99,"YOTSUBA&!, VOL. 8",Kiyohiko Azuma,by Kiyohiko Azuma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316073271.jpg,http://www.amazon.com/Yotsuba-Vol-8-Kiyohiko-Azuma/dp/031607327X?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,6,0,1,0,0,1421534622,9781421534626,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, the gang arrives on an island of zombies.",9.99,"ONE PIECE, VOL. 46",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534626.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534622?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,7,0,1,0,0,1421534614,9781421534619,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, new allies help the gang set sail again.",9.99,"ONE PIECE, VOL. 45",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534619.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534614?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,8,0,1,0,0,034552070X,9780345520708,Del Rey,Syaoran and Fei-Wang fight it out with Sakura’s life in the balance.,10.99,"TSUBASA, VOL. 26",Clamp,by  Clamp,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345520708.jpg,http://www.amazon.com/Tsubasa-RESERVoir-CHRoNiCLE-Vol-26/dp/034552070X?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,9,0,1,0,0,1421534630,9781421534633,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, zombies prepare for a deadly hunt.",9.99,"ONE PIECE, VOL. 47",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534633.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534630?tag=thenewyorktim-20,,,,,
Manga,2010-05-09,2010-05-23,10,0,1,0,0,1421534649,9781421534640,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, meet Oars, a zombie warrior who is not so brainless.",9.99,"ONE PIECE, VOL. 48",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534640.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534649?tag=thenewyorktim-20,,,,,
