Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,1421540495,9781421540498,VIZ Media,"Naruto, who wants to be a great ninja, must confront his inner demons at the Waterfall of Truth.",9.99,"NARUTO, VOL. 53",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421540498.jpg,http://www.amazon.com/Naruto-Vol-53-The-Birth/dp/1421540495?tag=thenewyorktim-20,,,,,,14215404959781421540498
2,0,1,0,0,1421533146,9781421533148,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, betrayals in the past, battles in the present.",9.99,"BLEACH, VOL. 37",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533148.jpg,http://www.amazon.com/Bleach-Vol-37-Tite-Kubo/dp/1421533146?tag=thenewyorktim-20,,,,,,14215331469781421533148
3,0,1,0,0,1421539594,9781421539591,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates search for a legendary treasure called “One Piece.” In this volume, a familial tragedy.",9.99,"ONE PIECE, VOL. 59",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421539591.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421539594?tag=thenewyorktim-20,,,,,,14215395949781421539591
4,0,1,0,0,142153889X,9781421538891,VIZ Media,"This series is about grade-school boys who want to become professionals in the manga industry. In this installment, the boys struggle to rebound from cancellation.",9.99,"BAKUMAN, VOL. 8",Tsugumi Ohba,by Tsugumi Ohba,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421538891.jpg,http://www.amazon.com/Bakuman-Vol-8-Tsugumi-Ohba/dp/142153889X?tag=thenewyorktim-20,,,,,,142153889X9781421538891
5,0,1,0,0,1421540762,9781421540764,VIZ Media,Rin Okumura joins an exorcist academy in order to control his inner demon. Will his classmates find out about his satanic bloodline?,9.99,"BLUE EXORCIST, VOL. 5",Kazue Kato,by Kazue Kato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421540764.jpg,http://www.amazon.com/Blue-Exorcist-Vol-Kazue-Kato/dp/1421540762?tag=thenewyorktim-20,,,,,,14215407629781421540764
6,0,1,0,0,1421539799,9781421539799,VIZ Media,"In this romantic comedy, Haruhi, a poor girl at a rich school, is forced to work — as a boy — for the school’s all-male club.",9.99,"OURAN HIGH SCHOOL HOST CLUB, VOL. 17",Bisco Hatori,by Bisco Hatori,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421539799.jpg,http://www.amazon.com/Ouran-High-School-Host-Club/dp/1421539799?tag=thenewyorktim-20,,,,,,14215397999781421539799
7,0,1,0,0,1935429868,9781935429869,Kodansha Comics,"These crime stories are set in a future (year 2030) version of Japan. Will the task force be able track down the serial killer and hacker ""The Laughing Man""?",10.99,"GHOST IN THE SHELL: STAND ALONE COMPLEX, VOL. 2",Yu Kinutani,by Yu Kinutani,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429869.jpg,http://www.amazon.com/Ghost-Shell-Stand-Alone-Complex/dp/1935429868?tag=thenewyorktim-20,,,,,,19354298689781935429869
8,0,1,0,0,193565411X,9781935654117,Vertical,"Meet Black Jack, a surgeon roaming the globe and performing medical miracles. Too bad he does not have a license to practice.",16.95,"BLACK JACK, VOL. 17",Osamu Tezuka,by Osamu Tezuka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935654117.jpg,http://www.amazon.com/Black-Jack-Volume-Osamu-Tezuka/dp/193565411X?tag=thenewyorktim-20,,,,,,193565411X9781935654117
9,0,1,0,0,1421541041,9781421541044,VIZ Media,
Princess Nakaba and Prince Caesar are married to keep peace between warring countries. Will they learn to love each other?,9.99,"DAWN OF THE ARCANA, VOL. 1",Rei Toma,by Rei Toma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541044.jpg,http://www.amazon.com/Dawn-Arcana-Vol-Rei-Toma/dp/1421541041?tag=thenewyorktim-20,,,,,,14215410419781421541044
10,0,1,0,0,1935429957,9781935429951,Kodansha Comics,"In ""Shugo Chara,"" three guardians help an elementary school girl find her true self. In this series, the guardians take the spotlight.",10.99,"SHUGO CHARA CHAN, VOL. 1",Peach-Pit,by Peach-Pit,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429951.jpg,http://www.amazon.com/Shugo-Chara-Chan-Shambhala-Classics/dp/1935429957?tag=thenewyorktim-20,,,,,,19354299579781935429951
