List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2012-07-28,2012-08-12,1,0,1,0,0,031618988X,9780316189880,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,11.99,"BLACK BUTLER, VOL. 10",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316189880.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/031618988X?tag=thenewyorktim-20,,,,,,031618988X9780316189880
Manga,2012-07-28,2012-08-12,2,0,1,0,0,0316197297,9780316197298,Yen Press,"Oz, who is condemned to an abyss for a mysterious sin, sets out to investigate with an Alice, an equally mysterious girl he met in exile.",11.99,"PANDORA HEARTS, VOL. 11",Jun Mochizuki,by Jun Mochizuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316197298.jpg,http://www.amazon.com/Pandora-Hearts-Vol-Jun-Mochizuki/dp/0316197297?tag=thenewyorktim-20,,,,,,03161972979780316197298
Manga,2012-07-28,2012-08-12,3,0,2,0,0,1935934910,9781935934912,Seven Seas Entertainment,"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.",13.99,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 1",QuinRose and Mamenosuke Fujimaru,by  QuinRose and Mamenosuke Fujimaru,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935934912.jpg,http://www.amazon.com/Alice-Country-Clover-Cheshire-Waltz/dp/1935934910?tag=thenewyorktim-20,,,,,,19359349109781935934912
Manga,2012-07-28,2012-08-12,4,0,1,0,0,156970273X,9781569702734,Digital Manga Publishing,"A photographer crosses paths with underworld and mafia leaders. Things then get even more complicated (and sexual) in this series, which is an example of yaoi (boy love) manga.",13.95,"FINDER, VOL. 6",Ayano Yamane,by Ayano Yamane,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781569702734.jpg,http://www.amazon.com/Finder-Volume-Passion-Within-Viewfinder/dp/156970273X?tag=thenewyorktim-20,,,,,,156970273X9781569702734
Manga,2012-07-28,2012-08-12,5,0,3,0,0,1421543060,9781421543062,VIZ Media,Will an ally of Naruto sacrifice his own life to prevent Naruto from risking his own?,9.99,"NARUTO, VOL. 57",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543062.jpg,http://www.amazon.com/Naruto-Vol-57-Masashi-Kishimoto/dp/1421543060?tag=thenewyorktim-20,,,,,,14215430609781421543062
Manga,2012-07-28,2012-08-12,6,0,1,0,0,0316213624,9780316213622,Yen Press,"Welcome to the Death Weapon Meister Academy, where students learn how to control their armaments in classes like NOT (Normally Overcome Targets) and EAT (Especially Advantaged Talent).",11.99,"SOUL EATER NOT!, VOL. 1",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316213622.jpg,http://www.amazon.com/Soul-Eater-NOT-Vol-1/dp/0316213624?tag=thenewyorktim-20,,,,,,03162136249780316213622
Manga,2012-07-28,2012-08-12,7,0,1,0,0,0316209325,9780316209328,Yen Press,"Journey to Ikebukuro, a Japanese city with lots of unusual activity, including the Black Biker, who is rumored to be headless.",11.99,"DURARARA!!, VOL. 3",Ryohgo Narita,by Ryohgo Narita,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316209328.jpg,http://www.amazon.com/Durarara-Vol-3-Ryohgo-Narita/dp/0316209325?tag=thenewyorktim-20,,,,,,03162093259780316209328
Manga,2012-07-28,2012-08-12,8,0,1,0,0,1935429612,9781935429616,Kodansha Comics,"This series, based on a video game, presents the legal adventures of Mr. Wright and his beautiful assistant Maya Fey.",10.99,"PHOENIX WRIGHT, ACE ATTORNEY, VOL. 5",Kenji Kuroda,by Kenji Kuroda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429616.jpg,http://www.amazon.com/Phoenix-Wright-Ace-Attorney-5/dp/1935429612?tag=thenewyorktim-20,,,,,,19354296129781935429616
Manga,2012-07-28,2012-08-12,9,0,3,0,0,1612620027,9781612620022,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",10.99,"SAILOR MOON, VOL. 6",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620022.jpg,http://www.amazon.com/Sailor-Moon-6-Naoko-Takeuchi/dp/1612620027?tag=thenewyorktim-20,,,,,,16126200279781612620022
Manga,2012-07-28,2012-08-12,10,0,1,0,0,0316209449,9780316209441,Yen Press,A mysterious disease has turned a high school’s student body into zombies.,13.99,"HIGHSCHOOL OF THE DEAD, VOL. 7",Daisuke Sato,by Daisuke Sato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316209441.jpg,http://www.amazon.com/Highschool-Dead-Vol-Daisuke-Sato/dp/0316209449?tag=thenewyorktim-20,,,,,,03162094499780316209441
