Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,1937867021,9781937867027,Seven Seas Entertainment,"Princess Mina has set up a haven, off the coast of Japan, for her vampire people, but danger lurks in the form of Lord Ivanovic who wants Mina as his vampire bride.",11.99,"DANCE IN THE VAMPIRE BUND, VOL. 13",Nozomu Tamaki,by Nozomu Tamaki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867027.jpg,http://www.amazon.com/Dance-Vampire-Bund-Vol-13/dp/1937867021?tag=thenewyorktim-20,,,,,,19378670219781937867027
2,0,5,0,0,1421543028,9781421543024,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, a look at how ""soul catching"" was done 100 years ago.",9.99,"BLEACH, VOL. 36",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533131.jpg,http://www.amazon.com/Bleach-Vol-49-Lost-Agent/dp/1421543028?tag=thenewyorktim-20,,,,,,1421533138978142153313114215430289781421543024
3,0,1,0,0,142154301X,9781421543017,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, Ichigo undergoes more training.",9.99,"BLEACH, VOL. 48",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543017.jpg,http://www.amazon.com/Bleach-Vol-48-Tite-Kubo/dp/142154301X?tag=thenewyorktim-20,,,,,,142154301X9781421543017
4,0,1,0,0,1421542641,9781421542645,VIZ Media,"From the publisher: ""Yusei has made it into the second round of the D1 Grand Prix.""",9.99,"YU-GI-OH! 5D'S, VOL. 3",Masahiro Hikokubo,by Masahiro Hikokubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542645.jpg,http://www.amazon.com/Yu-Gi-Oh-5Ds-Vol-Masahiro-Hikokubo/dp/1421542641?tag=thenewyorktim-20,,,,,,14215426419781421542645
5,0,1,0,0,1421539144,9781421539140,VIZ Media,This Pokemon adventure starts out with a case of mistaken identity.,7.99,"POKEMON ADVENTURES: DIAMOND AND PEARL/PLATINUM, VOL. 6",Hidenori Kusaka,by Hidenori Kusaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421539140.jpg,http://www.amazon.com/Pok?tag=thenewyorktim-20,,,,,,14215391449781421539140
6,0,4,0,0,1421543281,9781421543284,VIZ Media,"Naruto must battle an army of the undead controlled by Kabuto, who may also be controlling Itachi.",9.99,"NARUTO, VOL. 58",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543284.jpg,http://www.amazon.com/Naruto-Vol-58-vs-Itachi/dp/1421543281?tag=thenewyorktim-20,,,,,,14215432819781421543284
7,0,1,0,0,1421542919,9781421542911,VIZ Media,This series is about grade-school boys who want to become professionals in the manga industry.,9.99,"BAKUMAN, VOL. 15",Tsugumi Ohba,by Tsugumi Ohba,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542911.jpg,http://www.amazon.com/Bakuman-Vol-15-Tsugumi-Ohba/dp/1421542919?tag=thenewyorktim-20,,,,,,14215429199781421542911
8,0,1,0,0,1935934899,9781935934899,Seven Seas Entertainment,"Two female high school students, Mariko Kumakura and Akko Oohashi, become friends. Will their feelings for each other turn into something more?",17.99,"GIRL FRIENDS: THE COMPLETE COLLECTION, VOL. 1",Morinaga Milk,by Morinaga Milk,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935934899.jpg,http://www.amazon.com/Girl-Friends-The-Complete-Collection/dp/1935934899?tag=thenewyorktim-20,,,,,,19359348999781935934899
9,0,2,0,0,1421542773,9781421542775,VIZ Media,"From the publisher: ""Darkness covers the earth, and the world is under the control of evil."" Who will rise up to fight for good?",12.99,"NAOKI URASAWA'S 20TH CENTURY BOYS, VOL. 22",Naoki Urasawa,by Naoki Urasawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542775.jpg,http://www.amazon.com/Naoki-Urasawas-20th-Century-Boys/dp/1421542773?tag=thenewyorktim-20,,,,,,14215427739781421542775
10,0,2,0,0,1612620582,9781612620589,Kodansha Comics,The Fairy Tail are a group of powerful wizards.,10.99,FAIRY TAIL 21,Hiro Mashima,by Hiro Mashima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620589.jpg,http://www.amazon.com/Fairy-Tail-21-Hiro-Mashima/dp/1612620582?tag=thenewyorktim-20,,,,,,16126205829781612620589
