List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-03-01,2014-03-16,1,0,38,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-03-01,2014-03-16,2,0,5,0,0,1612626777,9781612626772,Kodansha Comics,"The identity of the Titans who have been destroying the walls is revealed, but has their treachery been discovered too late to save humanity?",0,"ATTACK ON TITAN, VOL. 11",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626772.jpg,http://www.amazon.com/Attack-Titan-11-Hajime-Isayama/dp/1612626777?tag=thenewyorktim-20,,,,,,16126267779781612626772
Manga,2014-03-01,2014-03-16,3,0,1,0,0,1421555484,9781421555485,VIZ Media,A middle-school student is framed for the murder of his classmates and he is sentenced to a prison that doubles as a demented theme park in this new series.,0,"DEADMAN WONDERLAND, VOL. 1",Jinsei Katoka and Kazuma Kondou,by Jinsei Katoka and Kazuma Kondou,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421555485.jpg,http://www.amazon.com/Deadman-Wonderland-Vol-Jinsei-Kataoka/dp/1421555484?tag=thenewyorktim-20,,,,,,14215554849781421555485
Manga,2014-03-01,2014-03-16,4,0,8,0,0,1421561395,9781421561394,VIZ Media,"In this latest volume, Naruto stands up to Tobi and the Allied Shinobi Forces battle the Ten-Tailed Beast.",0,"NARUTO, VOL. 64",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421561394.jpg,http://www.amazon.com/Naruto-Vol-64-Ten-Tails/dp/1421561395?tag=thenewyorktim-20,,,,,,14215613959781421561394
Manga,2014-03-01,2014-03-16,5,0,22,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack, but one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
Manga,2014-03-01,2014-03-16,6,0,4,0,0,1421557991,9781421557991,VIZ Media,The son of a notorious gangster gets caught in a love triangle with his childhood sweetheart and the daughter of his father's rival.,0,"NISEKOI: FALSE LOVE, VOL. 1",Naoshi Komi,by Naoshi Komi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421557991.jpg,http://www.amazon.com/Nisekoi-False-Love-Vol-1/dp/1421557991?tag=thenewyorktim-20,,,,,,14215579919781421557991
Manga,2014-03-01,2014-03-16,7,0,4,0,0,1421555867,9781421555867,VIZ Media,Tomoe reveals that he is dying from a 500-year-old curse. Will Nanami be able to save him?,0,"KAMISAMA KISS, VOL. 14",Julietta Suzuki,by Julietta Suzuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421555867.jpg,http://www.amazon.com/Kamisama-Kiss-Vol-Julietta-Suzuki/dp/1421555867?tag=thenewyorktim-20,,,,,,14215558679781421555867
Manga,2014-03-01,2014-03-16,8,0,18,0,0,1612620264,9781612620268,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, what happens when a human boy becomes a Titan?",0,"ATTACK ON TITAN, VOL. 3",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620268.jpg,http://www.amazon.com/Attack-Titan-3-Hajime-Isayama/dp/1612620264?tag=thenewyorktim-20,,,,,,16126202649781612620268
Manga,2014-03-01,2014-03-16,9,0,2,0,0,0316369055,9780316369053,Yen Press,Neyn sends a team of vampire slayers to kill Staz and rescue her daughter. But does Fuyumi even want to be saved?,0,"BLOOD LAD, VOL. 4",Yuuki Kodama,by Yuuki Kodama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316369053.jpg,http://www.amazon.com/Blood-Lad-Vol-Yuuki-Kodama/dp/0316369055?tag=thenewyorktim-20,,,,,,03163690559780316369053
Manga,2014-03-01,2014-03-16,10,0,5,0,0,0316369020,9780316369022,Yen Press,"Ciel enters a college cricket tournament to earn an invitation to the exclusive ""Midnight Tea Party"" hosted by the school's headmaster.",0,"BLACK BUTLER, VOL. 16",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316369022.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316369020?tag=thenewyorktim-20,,,,,,03163690209780316369022
